epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,12893.7,0.49258,0.31211,0.75099,0.99992,1,0.995,0.91947,0.45782,0.3138,0.80742,0.0011024,0.0011024,0.0011024
138,12988.5,0.47788,0.30427,0.7517,0.99967,1,0.995,0.90589,0.47906,0.4359,0.80605,0.0010958,0.0010958,0.0010958
139,13082.9,0.47623,0.30721,0.75074,0.99985,1,0.995,0.89271,0.52552,0.38644,0.81551,0.0010892,0.0010892,0.0010892
140,13177.7,0.50355,0.31886,0.74183,0.99991,1,0.995,0.92038,0.44916,0.32978,0.80478,0.0010826,0.0010826,0.0010826
141,13272.4,0.50252,0.31916,0.75932,0.99968,1,0.995,0.90707,0.47922,0.34162,0.80742,0.001076,0.001076,0.001076
142,13366.6,0.50652,0.31642,0.7447,0.9999,1,0.995,0.91045,0.51331,0.37835,0.81294,0.0010694,0.0010694,0.0010694
143,13461.4,0.50584,0.31627,0.76902,0.99987,1,0.995,0.92136,0.44509,0.32219,0.80499,0.0010628,0.0010628,0.0010628
144,13557.1,0.47556,0.29923,0.7452,0.99984,1,0.995,0.90455,0.49042,0.39389,0.80974,0.0010562,0.0010562,0.0010562
145,13652.5,0.48913,0.31295,0.73856,0.99989,1,0.995,0.91414,0.47742,0.33955,0.80603,0.0010496,0.0010496,0.0010496
146,13747.9,0.48439,0.30781,0.74107,0.9996,1,0.995,0.91828,0.46212,0.34583,0.809,0.001043,0.001043,0.001043
147,13841.6,0.49274,0.31335,0.74195,0.99993,1,0.995,0.91316,0.47254,0.31388,0.80925,0.0010364,0.0010364,0.0010364
148,13935.9,0.49254,0.31475,0.75355,0.99992,1,0.995,0.91014,0.48446,0.30411,0.80848,0.0010298,0.0010298,0.0010298
149,14030.6,0.48548,0.30066,0.75378,0.9999,1,0.995,0.93104,0.42699,0.29231,0.80131,0.0010232,0.0010232,0.0010232
150,14125.4,0.47211,0.29816,0.75577,0.99982,1,0.995,0.92867,0.42882,0.32734,0.80144,0.0010166,0.0010166,0.0010166
151,14217.2,0.47594,0.29941,0.74315,0.99982,1,0.995,0.91943,0.47388,0.32003,0.80798,0.00101,0.00101,0.00101
152,14309.6,0.47971,0.30578,0.74181,0.99982,1,0.995,0.92248,0.46191,0.32775,0.80398,0.0010034,0.0010034,0.0010034
153,14404.9,0.47589,0.30316,0.73499,0.99985,1,0.995,0.91633,0.46624,0.31947,0.80577,0.0009968,0.0009968,0.0009968
154,14498.3,0.48721,0.31615,0.75375,0.99984,1,0.995,0.92072,0.44984,0.30448,0.8016,0.0009902,0.0009902,0.0009902
155,14591.4,0.45911,0.29147,0.74008,0.9999,1,0.995,0.92029,0.45767,0.32753,0.80519,0.0009836,0.0009836,0.0009836
156,14683.4,0.4659,0.2929,0.73307,0.9999,1,0.995,0.90824,0.49456,0.32672,0.80688,0.000977,0.000977,0.000977
157,14774.3,0.49326,0.30223,0.74529,0.99991,1,0.995,0.91291,0.48847,0.3153,0.80806,0.0009704,0.0009704,0.0009704
158,14865.8,0.45311,0.28607,0.72741,0.99985,1,0.995,0.92408,0.44659,0.3294,0.80305,0.0009638,0.0009638,0.0009638
159,14958.4,0.4772,0.29884,0.7448,0.99988,1,0.995,0.91089,0.46836,0.32451,0.8069,0.0009572,0.0009572,0.0009572
160,15054.3,0.45391,0.29148,0.75296,0.99986,1,0.995,0.92672,0.43421,0.29598,0.80033,0.0009506,0.0009506,0.0009506
161,15147.3,0.45767,0.29056,0.73963,0.99984,1,0.995,0.91452,0.45811,0.37415,0.80137,0.000944,0.000944,0.000944
162,15240.2,0.48063,0.30215,0.74957,0.99985,1,0.995,0.9272,0.43682,0.29802,0.80401,0.0009374,0.0009374,0.0009374
163,15336,0.48594,0.31018,0.7655,0.99986,1,0.995,0.92269,0.45178,0.33439,0.80109,0.0009308,0.0009308,0.0009308
164,15432.1,0.47034,0.2959,0.76693,0.99984,1,0.995,0.9165,0.46378,0.30759,0.80368,0.0009242,0.0009242,0.0009242
165,15527.5,0.45212,0.2895,0.74783,0.99986,1,0.995,0.92861,0.43586,0.29894,0.79994,0.0009176,0.0009176,0.0009176
166,15622.4,0.46251,0.289,0.7416,0.99985,1,0.995,0.91949,0.4441,0.32534,0.80243,0.000911,0.000911,0.000911
167,15717.6,0.47928,0.29918,0.75347,0.99982,1,0.995,0.93363,0.41872,0.30575,0.79915,0.0009044,0.0009044,0.0009044
168,15811.9,0.48369,0.31444,0.76685,0.99944,1,0.995,0.90984,0.47321,0.34186,0.80609,0.0008978,0.0008978,0.0008978
169,15905.1,0.46328,0.29436,0.74018,0.99988,1,0.995,0.92439,0.45064,0.29005,0.80314,0.0008912,0.0008912,0.0008912
170,15999.1,0.4477,0.28195,0.73581,0.9999,1,0.995,0.91984,0.44562,0.31558,0.80169,0.0008846,0.0008846,0.0008846
171,16093.7,0.46583,0.29121,0.75251,0.99988,1,0.995,0.91069,0.47312,0.35216,0.80621,0.000878,0.000878,0.000878
172,16189.3,0.4582,0.28805,0.73012,0.99959,1,0.995,0.91814,0.46129,0.31064,0.80422,0.0008714,0.0008714,0.0008714
173,16284.2,0.47579,0.29966,0.75275,0.99989,1,0.995,0.91346,0.47013,0.30883,0.8072,0.0008648,0.0008648,0.0008648
174,16379.7,0.46476,0.29374,0.73935,0.99991,1,0.995,0.91259,0.46442,0.32534,0.80323,0.0008582,0.0008582,0.0008582
175,16474.8,0.46185,0.28798,0.74001,0.99989,1,0.995,0.9084,0.47211,0.33149,0.8036,0.0008516,0.0008516,0.0008516
176,16569.3,0.45283,0.29004,0.73607,0.99991,1,0.995,0.9351,0.41665,0.27696,0.79861,0.000845,0.000845,0.000845
177,16662.3,0.47261,0.29489,0.75454,0.99987,1,0.995,0.91828,0.4484,0.29788,0.80113,0.0008384,0.0008384,0.0008384
178,16755.9,0.43924,0.27797,0.74341,0.99992,1,0.995,0.92736,0.43209,0.29113,0.79974,0.0008318,0.0008318,0.0008318
179,16851.7,0.45199,0.28521,0.73789,0.99986,1,0.995,0.92469,0.43089,0.3221,0.79855,0.0008252,0.0008252,0.0008252
