epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,9550.77,-10.8339,0.26462,0.74361,0.99993,1,0.995,0.93692,-10.8513,0.26648,0.79263,0.00068,0.00068,0.00068
82,9667.1,-10.8403,0.26104,0.724,0.99994,1,0.995,0.93969,-10.8531,0.25352,0.79329,0.0006635,0.0006635,0.0006635
83,9782.91,-10.8343,0.27177,0.73753,0.99994,1,0.995,0.94306,-10.8573,0.27474,0.79513,0.000647,0.000647,0.000647
84,9898.76,-10.8411,0.26375,0.7297,0.99986,1,0.995,0.9529,-10.8644,0.25714,0.79145,0.0006305,0.0006305,0.0006305
85,10019.1,-10.8455,0.25842,0.72381,0.99994,1,0.995,0.94718,-10.8623,0.26619,0.79169,0.000614,0.000614,0.000614
86,10139.6,-10.847,0.25397,0.73819,0.99994,1,0.995,0.95218,-10.8782,0.24808,0.79147,0.0005975,0.0005975,0.0005975
87,10257.3,-10.8605,0.25454,0.73349,0.99992,1,0.995,0.95177,-10.882,0.24583,0.78932,0.000581,0.000581,0.000581
88,10374,-10.8485,0.26115,0.72823,0.99992,1,0.995,0.95024,-10.8737,0.25478,0.79194,0.0005645,0.0005645,0.0005645
89,10489.9,-10.8543,0.25233,0.72331,0.99985,1,0.995,0.95395,-10.8846,0.24645,0.78975,0.000548,0.000548,0.000548
90,10607.9,-10.8534,0.25947,0.74743,0.99993,1,0.995,0.9505,-10.8744,0.25087,0.79104,0.0005315,0.0005315,0.0005315
91,10726.6,-10.8737,0.24298,0.71103,0.99993,1,0.995,0.95076,-10.866,0.25843,0.78987,0.000515,0.000515,0.000515
92,10846.3,-10.8432,0.25973,0.73856,0.99993,1,0.995,0.95452,-10.8903,0.24127,0.78927,0.0004985,0.0004985,0.0004985
93,10966.4,-10.8573,0.25304,0.72826,0.99992,1,0.995,0.94565,-10.8712,0.26086,0.78996,0.000482,0.000482,0.000482
94,11084.8,-10.8469,0.26022,0.74171,0.99993,1,0.995,0.95761,-10.8963,0.2385,0.78835,0.0004655,0.0004655,0.0004655
95,11202.2,-10.874,0.24701,0.72713,0.99993,1,0.995,0.94605,-10.8712,0.26142,0.79002,0.000449,0.000449,0.000449
96,11320.4,-10.8549,0.24991,0.72198,0.99993,1,0.995,0.94495,-10.8617,0.24429,0.79241,0.0004325,0.0004325,0.0004325
97,11435.3,-10.8703,0.24167,0.72756,0.99993,1,0.995,0.95601,-10.8888,0.23612,0.78937,0.000416,0.000416,0.000416
98,11553.7,-10.8792,0.23843,0.71849,0.99994,1,0.995,0.95062,-10.8761,0.24622,0.78886,0.0003995,0.0003995,0.0003995
99,11672.6,-10.8707,0.24259,0.72545,0.99993,1,0.995,0.95467,-10.8882,0.24512,0.78855,0.000383,0.000383,0.000383
100,11794.6,-10.8613,0.24407,0.73833,0.99994,1,0.995,0.95551,-10.902,0.23417,0.78818,0.0003665,0.0003665,0.0003665
101,11918.5,-10.8702,0.24124,0.72327,0.99993,1,0.995,0.95275,-10.8831,0.24991,0.78908,0.00035,0.00035,0.00035
102,12041.3,-10.8551,0.25202,0.7367,0.99992,1,0.995,0.95475,-10.8933,0.25157,0.78772,0.0003335,0.0003335,0.0003335
103,12164.6,-10.86,0.25146,0.73758,0.99994,1,0.995,0.95208,-10.8808,0.24308,0.79049,0.000317,0.000317,0.000317
104,12287.2,-10.8738,0.24444,0.72641,0.99994,1,0.995,0.95185,-10.8846,0.24215,0.78841,0.0003005,0.0003005,0.0003005
105,12408.2,-10.8528,0.2556,0.72595,0.99993,1,0.995,0.96172,-10.9072,0.23113,0.78711,0.000284,0.000284,0.000284
106,12526.4,-10.8721,0.24412,0.74049,0.99994,1,0.995,0.95794,-10.8981,0.23028,0.78789,0.0002675,0.0002675,0.0002675
107,12647.5,-10.8754,0.24114,0.72202,0.99993,1,0.995,0.95445,-10.8887,0.2484,0.78714,0.000251,0.000251,0.000251
108,12765.3,-10.8727,0.24004,0.72858,0.99994,1,0.995,0.95376,-10.8914,0.23805,0.78757,0.0002345,0.0002345,0.0002345
109,12895.8,-10.8641,0.24218,0.72956,0.99994,1,0.995,0.9593,-10.9034,0.23056,0.78684,0.000218,0.000218,0.000218
110,13012,-10.8843,0.2395,0.72105,0.99994,1,0.995,0.96062,-10.9063,0.2312,0.78637,0.0002015,0.0002015,0.0002015
111,13141.4,-10.8632,0.24348,0.73905,0.99993,1,0.995,0.94549,-10.8651,0.26336,0.79015,0.000185,0.000185,0.000185
112,13256.3,-10.8661,0.24346,0.7446,0.99994,1,0.995,0.9552,-10.8896,0.24458,0.78892,0.0001685,0.0001685,0.0001685
113,13380.8,-10.8667,0.23987,0.76518,0.99994,1,0.995,0.96091,-10.9007,0.23496,0.78782,0.000152,0.000152,0.000152
114,13512.8,-10.8884,0.22809,0.76099,0.99994,1,0.995,0.95448,-10.8882,0.24775,0.78883,0.0001355,0.0001355,0.0001355
115,13643.6,-10.8726,0.23603,0.75966,0.99994,1,0.995,0.95705,-10.8908,0.2471,0.78738,0.000119,0.000119,0.000119
116,13772.6,-10.8927,0.21917,0.74463,0.99994,1,0.995,0.96272,-10.9114,0.2272,0.78591,0.0001025,0.0001025,0.0001025
117,13886.1,-10.8798,0.22887,0.74707,0.99994,1,0.995,0.96106,-10.9047,0.23877,0.78671,8.6e-05,8.6e-05,8.6e-05
118,13999.2,-10.8815,0.23593,0.74534,0.99994,1,0.995,0.9603,-10.8964,0.24371,0.78707,6.95e-05,6.95e-05,6.95e-05
119,14112.2,-10.8769,0.23277,0.7476,0.99994,1,0.995,0.95992,-10.9027,0.23481,0.78654,5.3e-05,5.3e-05,5.3e-05
120,14225,-10.8883,0.22651,0.74563,0.99994,1,0.995,0.96013,-10.8997,0.23424,0.78701,3.65e-05,3.65e-05,3.65e-05
